SubjectID,x1,x2,x3,x4,x5,x6,x7,x8,x9,x12,x14,x16,x17,L_a1,L_a2,L_a3,L_a4,L_a5,L_a6,L_a7,L_a8,L_a9,L_d1,L_d2,L_d3,L_d4,L_d5,L_d6,L_d7,L_d8,L_theta1,L_theta2,R_a1,R_a2,R_a3,R_a4,R_a5,R_a6,R_a7,R_a8,R_a9,R_d1,R_d2,R_d3,R_d4,R_d5,R_d6,R_d7,R_d8,R_theta1,R_theta2
nh2,15,24,20.5,3.44,2.63,11.1,2.9,11.6,29.7,39.3,181,59,102,2.05,0.8,0.56,0.69,0.58,1.6,2,0.58,0.89,1.9,0.72,1.6,2,6.31,2.9,0.56,1.5,0.506145483078,0.605915996674,2.05,0.95,0.55,0.8,0.59,1.7,1.14,0.49,0.82,1.9,0.88,1.6,2.1,6.5,3.1,0.6,1.6,0.471238898038,0.597868795302
nh4,15.7,22.7,18.8,2.45,1.8,11.1,3.5,11.8,29.3,42,171,57,106.5,1.72,0.54,0.72,0.91,0.7,1.81,1.94,0.39,1.11,2.1,1,1.9,1.8,6.62,3.2,0.68,1.21,0.366519142919,0.645838463321,1.89,0.72,0.65,0.8,0.54,1.99,1.54,0.34,1.09,2.15,1.1,1.71,1.9,6.95,3.2,0.6,1.92,0.488692190558,0.709866453385
nh5,15.7,23,21,1.95,3.6,11.7,3.3,11.2,31,44.5,168,58,101,1.45,1.1,0.9,0.8,0.8,1.8,1.7,0.6,1.15,1.8,1.05,2,1.9,6.1,2.8,0.85,1.2,0.575958653158,0.643501108793,1.4,1,0.7,0.8,0.6,1.9,1.9,0.4,1.3,1.8,1,2.1,1.8,5.95,2.95,0.7,1.25,0.523598775598,0.685729510906
nh12,15.4,23.3,18.5,3.72,3.4,12.7,6.69,12.7,35.8,43.6,186,59,114.5,1.74,0.69,0.59,0.77,0.61,1.92,1.44,0.79,1,NaN,NaN,1.46,1.94,6.47,NaN,0.46,1.49,0.383972435439,0.776802386571,1.68,0.73,0.57,0.79,0.67,1.35,1.65,0.62,0.9,NaN,NaN,1.64,2.08,6.41,NaN,0.49,1.32,0.471238898038,0.770014761617
nh14,15.4,21.6,18.2,1.57,2.525,11.2,3.5,11,31,39.6,176,54.5,97,2.08,0.79,0.56,0.8,0.52,1.24,1.59,0.4,0.9,NaN,NaN,1.9,2.36,6.45,NaN,0.69,0.92,0.523598775598,0.570992016927,1.81,0.71,0.62,0.79,0.6,1.15,1.85,0.48,0.95,NaN,NaN,1.8,2.2,6.2,NaN,0.66,1.22,0.610865238198,0.6884462244
nh15,15.4,23.2,19.7,1.35,1.28,10.9,6.2,11.6,31.6,43.1,188,60,111,2.25,0.62,0.51,0.81,0.57,1.5,1.85,0.51,0.71,NaN,NaN,1.65,1.64,7.2,NaN,0.64,1.19,0.558505360638,0.509707194127,2.34,1.03,0.71,0.71,0.71,1.15,0.85,0.32,0.78,NaN,NaN,1.71,1.8,6.95,NaN,0.6,1.08,0.645771823238,0.588002603548
nh18,15.2,22,18.2,1.255,1.005,12.5,5.6,11.7,32,46.5,167,55,107,1.84,0.66,0.54,0.82,0.5,1.05,1.74,0.38,1.1,1.9,1,1.59,1.71,6.36,2.65,0.5,0.79,0.453785605519,0.550549399784,1.95,0.76,0.72,0.99,0.6,0.78,1.35,0.4,0.8,1.75,0.81,1.8,1.76,6.41,2.85,0.56,0.9,0.401425727959,0.633354895534
nh19,15.6,20.7,18.5,2.44,3.35,11,7,11.6,5.2,43.5,180,54,105,2.3,0.864,0.6,0.5,0.51,1.1,1.9,0.51,1.15,1.6,0.9,2.04,1.57,6.4,2.9,0.72,1.25,0.453785605519,0.629200653559,2.24,0.8,0.99,0.89,0.74,1.49,2.29,0.72,1,1.8,0.9,1.9,1.5,6.56,2.6,0.55,1.48,0.366519142919,0.640872993951
nh39,14.3,19,19.2,3.325,1.975,8.5,7.67,12,27.5,39.8,171,55.5,93,1.86,0.56,0.56,0.64,0.5,1.45,1.17,0.46,0.62,NaN,NaN,1.5,2.22,6.09,NaN,0.72,1.77,0.436332312999,0.64694541205,1.76,0.71,0.58,0.68,0.47,1.79,1.59,0.39,0.72,NaN,NaN,1.82,2.24,6.27,NaN,0.68,1.68,0.418879020479,0.64432111681
nh42,14.3,18.5,19.3,2.2,1.65,8.3,4,10.4,27.8,37.5,166,58,99,1.45,0.55,0.5,0.71,0.44,1.05,1.5,0.45,1,1.65,0.79,1.7,1.06,4.8,2.81,0.5,1.6,0.488692190558,0.551654982529,1.35,0.68,0.7,0.6,0.58,1.8,1.8,0.45,0.9,1.8,0.6,1.68,0.9,5.26,2.5,0.56,1.2,0.506145483078,0.380506377112
